Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score
0.00103895,0.0134406,0.00789479,1,192,211.621,12.3007,1,1,1
0.000924469,0.00308092,0.0210435,0.994819,193,211.621,11.4794,1,0.994819,0.997403
0.000826488,0.0024089,0.00874244,1,192,211.621,12.0186,1,1,1
0.000695178,0.0122708,0.0142579,1,195,211.621,11.3564,1,1,1
0.000831553,0.0119332,0.00875739,1,193,211.621,12.3316,1,1,1
0.000823031,0.0137007,0.00858723,1,192,211.621,11.6103,1,1,1
0.000762015,0.0150624,0.0177058,1,192,211.621,10.9899,1,1,1
0.000468264,0.00646903,0.00671906,1,196,211.621,12.2099,1,1,1
0.000511827,0.0151738,0.00592947,1,197,211.621,11.9478,1,1,1
0.000466119,0.0138648,0.00624929,1,202,211.621,11.9723,1,1,1
0.000466121,0.0137235,0.0101426,1,193,211.621,11.2484,1,1,1
0.00067681,0.00423633,0.00579259,1,192,211.621,11.3332,1,1,1
0.000434607,0.00310277,0.0118926,1,198,211.621,13.1068,1,1,1
0.000828507,0.0167709,0.0174178,1,192,211.621,11.868,1,1,1
0.000961138,0.00113063,0.00685599,1,195,211.621,11.2755,1,1,1
0.00189135,0.00184377,0.0285473,1,196,211.621,11.7512,1,1,1
0.000924649,0.00326464,0.0205976,1,203,211.621,11.9739,1,1,1
0.000828069,0.00941547,0.010659,1,190,211.621,11.8321,1,1,1
0.00106516,0.00145624,0.0105993,1,197,211.621,11.8964,1,1,1
0.00177054,0.0097755,0.023095,1,197,211.621,11.0964,1,1,1
0.00157951,0.00397115,0.0205532,1,199,274.756,11.7868,1,1,1
0.000619602,0.00244655,0.0145202,1,197,274.756,12.1276,1,1,1
0.00168018,0.00143344,0.0240549,1,192,274.756,11.252,1,1,1
0.00312513,0.00924302,0.0129834,1,197,274.756,12.3403,1,1,1
0.00111685,0.000906608,0.0120149,1,189,274.756,11.3011,1,1,1
0.00123623,0.000897366,0.0228921,1,199,274.756,11.3903,1,1,1
0.00177766,0.00613968,0.0289653,1,193,274.756,12.2257,1,1,1
0.000577062,0.000647784,0.00883701,1,191,274.756,11.7064,1,1,1
0.0010399,0.000979744,0.0163396,0.989691,194,274.756,11.4562,1,0.989691,0.994819
0.00149273,0.0118253,0.0104152,1,195,274.756,12.4333,1,1,1
0.000586634,0.000673018,0.00801487,1,195,274.756,11.9731,1,1,1
0.0156369,0.00436221,0.0320537,1,262,274.756,14.0515,1,1,1
0.001756,0.00391846,0.0139939,1,195,274.756,11.8554,1,1,1
0.000610021,0.000444853,0.008674,1,194,274.756,12.1546,1,1,1
0.00116312,0.000934012,0.0189929,1,193,274.756,12.8192,1,1,1
0.00213726,0.0198127,0.0121738,1,201,274.756,11.5798,1,1,1
0.00116309,0.00934121,0.0194789,1,195,274.756,11.7978,1,1,1
0.00156753,0.00224895,0.0245139,1,199,274.756,11.4484,1,1,1
0.00101426,0.00419973,0.00980113,1,199,274.756,11.8738,1,1,1
0.00118523,0.0143754,0.033624,1,196,274.756,12.121,1,1,1
0.00223593,0.0139346,0.0300924,1,201,274.756,12.5314,1,1,1
0.000844843,0.0021685,0.00740328,1,190,274.756,12.5645,1,1,1
0.00100791,0.0125455,0.0337593,1,198,274.756,11.1892,1,1,1
0.00212784,0.00254108,0.0178341,1,196,274.756,12.2392,1,1,1
0.000667938,0.000525351,0.0102419,1,196,274.756,11.6156,1,1,1
0.00182597,0.00150375,0.0251653,1,198,274.756,11.7066,1,1,1
0.00132505,0.0102594,0.0133653,1,195,274.756,12.3119,1,1,1
0.00100947,0.00248455,0.00762453,1,198,274.756,11.7257,1,1,1
0.00172529,0.00164267,0.0319091,1,194,274.756,11.5887,1,1,1
0.00227126,0.00536576,0.0178871,1,197,274.756,12.1282,1,1,1
0.00080962,0.00769535,0.00735808,1,196,274.756,12.3557,1,1,1
0.00192322,0.0012462,0.0445207,1,195,274.756,11.2213,1,1,1
0.00200688,0.0012196,0.0132042,1,195,274.756,12.2356,1,1,1
0.000654174,0.00473393,0.00638525,0.984694,196,274.756,10.9926,1,0.984694,0.992288
0.000869342,0.00189119,0.0227907,1,193,274.756,11.9365,1,1,1
0.0024045,0.0239716,0.0103186,1,193,274.756,12.2398,1,1,1
0.000836619,0.00785796,0.0123288,1,191,274.756,10.8183,1,1,1
0.00200766,0.00309006,0.0462627,1,190,274.756,9.95217,1,1,1
0.00120714,0.00132531,0.0130988,1,200,274.756,11.7495,1,1,1
0.000806269,0.000603548,0.010764,1,203,274.756,11.9367,1,1,1
0.00159106,0.00107871,0.0143347,1,193,274.756,11.4038,1,1,1
0.00216635,0.0245523,0.0333602,1,196,274.756,12.4736,1,1,1
0.000517319,0.000431466,0.00620983,1,191,274.756,12.4025,1,1,1
0.00106762,0.00982058,0.0427419,1,199,274.756,12.1253,1,1,1
0.00192086,0.0137733,0.0104171,1,198,274.756,11.4703,1,1,1
0.00210185,0.0141758,0.0460241,1,196,274.756,11.8476,1,1,1
0.000865026,0.0040489,0.00866979,1,190,274.756,11.1362,1,1,1
0.000731878,0.00493835,0.0133351,1,193,274.756,11.2737,1,1,1
0.00170863,0.0017664,0.0232547,1,183,274.756,11.5936,1,1,1
0.00127243,0.00101828,0.0182919,0.994898,196,274.756,11.8619,1,0.994898,0.997442
0.000573097,0.000818751,0.0082309,0.984772,197,332.861,11.4128,1,0.984772,0.992327
0.00166901,0.00184699,0.0233609,1,195,332.861,11.5939,1,1,1
0.0018528,0.0147967,0.017551,1,197,332.861,11.1282,1,1,1
0.00056625,0.000456041,0.00790517,1,204,332.861,11.0081,1,1,1
0.00174828,0.00120224,0.0539195,1,197,332.861,12.5685,1,1,1
0.00133789,0.00406809,0.0119765,1,204,332.861,12.6033,1,1,1
0.00143477,0.00539445,0.020013,0.994924,197,332.861,11.3735,1,0.994924,0.997455
0.00137107,0.0017267,0.0214139,1,192,332.861,11.6217,1,1,1
0.00109019,0.00104853,0.00810388,1,190,332.861,12.3556,1,1,1
0.00103374,0.000940004,0.0195059,1,191,332.861,11.3635,1,1,1
0.00204893,0.00444514,0.029297,1,195,332.861,11.8984,1,1,1
0.000603491,0.019517,0.00820447,1,193,332.861,11.2496,1,1,1
0.00180143,0.00402672,0.0232388,1,191,332.861,12.6789,1,1,1
0.00119788,0.00150405,0.0218276,1,199,332.861,11.3073,1,1,1
0.000861713,0.00511164,0.0152241,1,189,332.861,12.0122,1,1,1
0.00182675,0.00276483,0.0231831,1,190,332.861,12.2518,1,1,1
0.000898154,0.00393786,0.00809874,1,187,332.861,12.048,1,1,1
0.0018913,0.00905887,0.0231681,1,199,332.861,10.9692,1,1,1
0.0011626,0.00098138,0.0106268,1,196,332.861,12.2316,1,1,1
0.00192291,0.00192882,0.0437184,1,192,332.861,11.5447,1,1,1
0.00095823,0.00193019,0.011307,1,201,332.861,11.394,1,1,1
0.000740615,0.000906726,0.00952836,1,192,332.861,12.2685,1,1,1
0.00179457,0.00163447,0.0306154,0.994737,190,332.861,11.5778,1,0.994737,0.997361
0.00189394,0.0229179,0.0112806,1,190,332.861,12.1644,1,1,1
0.00205086,0.0114236,0.0237647,1,200,332.861,11.7019,1,1,1
0.00141762,0.0128373,0.00765523,1,192,332.861,12.1828,1,1,1
0.00215625,0.0324204,0.0336153,1,190,332.861,12.431,1,1,1
0.001735,0.00139482,0.0318695,1,194,332.861,11.744,1,1,1
0.000961751,0.000801878,0.00883386,1,191,332.861,11.2983,1,1,1
0.000951678,0.00182132,0.00642434,1,194,332.861,12.8033,1,1,1
0.00178808,0.0099334,0.0278442,1,193,332.861,11.8249,1,1,1
0.00238733,0.00929841,0.0243626,1,195,332.861,12.9166,1,1,1
0.000641094,0.000751663,0.00638011,0.978947,190,332.861,10.5028,1,0.978947,0.989362
0.00177893,0.0017838,0.0238288,1,191,332.861,12.2571,1,1,1
0.00170382,0.00531445,0.0298866,1,188,332.861,11.9266,1,1,1
0.00115383,0.0030165,0.0113241,0.994764,191,332.861,11.7448,1,0.994764,0.997375
