Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.00880331,0.0120451,0.0095737,1,212,127.393,12.6757,1,1,1,212,0,0,0
0.0123374,0.00460395,0.0298227,1,208,127.393,11.5747,1,1,1,208,0,0,0
0.00613622,0.00339666,0.0106121,1,215,127.393,11.8578,1,1,1,215,0,0,0
0.012342,0.00873214,0.0286624,1,212,127.393,12.1218,1,1,1,212,0,0,0
0.00644892,0.00172699,0.0110987,1,216,127.393,12.523,1,1,1,216,0,0,0
0.0122593,0.0243499,0.0297502,1,214,125.195,12.2595,1,1,1,214,0,0,0
0.00353349,0.00301428,0.00681204,1,208,125.195,12.429,1,1,1,208,0,0,0
0.00365885,0.00148281,0.0084679,1,216,125.195,12.4013,1,1,1,216,0,0,0
0.00633921,0.00298797,0.0219209,1,212,125.195,11.7468,1,1,1,212,0,0,0
0.0119562,0.0092911,0.0268018,1,214,125.195,12.3364,1,1,1,214,0,0,0
0.0041195,0.000582403,0.00898386,1,212,125.195,11.5411,1,1,1,212,0,0,0
0.00754902,0.00378672,0.0293484,1,211,125.195,12.268,1,1,1,211,0,0,0
0.015819,0.0175385,0.0232855,1,212,125.195,12.2758,1,1,1,212,0,0,0
0.00492166,0.00136274,0.00724345,1,207,125.195,11.5294,1,1,1,207,0,0,0
0.00557548,0.000790452,0.0124426,1,209,125.195,11.904,1,1,1,209,0,0,0
0.0112679,0.0017471,0.0263651,1,213,125.195,12.0545,1,1,1,213,0,0,0
0.00788367,0.00266096,0.0112174,1,210,125.195,12.2924,1,1,1,210,0,0,0
0.0126421,0.0121609,0.0269157,1,208,125.195,11.9286,1,1,1,208,0,0,0
0.00661744,0.00552186,0.00954624,1,202,125.195,12.0449,1,1,1,202,0,0,0
0.0130073,0.00984948,0.0272123,1,208,125.195,11.6158,1,1,1,208,0,0,0
0.00648664,0.00597735,0.00905777,1,207,125.195,12.2579,1,1,1,207,0,0,0
0.00433325,0.00119521,0.0114055,1,211,125.195,12.0713,1,1,1,211,0,0,0
0.0121762,0.00132203,0.0255735,1,213,125.195,13.0426,1,1,1,213,0,0,0
0.0101239,0.00962349,0.012605,1,213,125.195,12.5196,1,1,1,213,0,0,0
0.00419836,0.000573695,0.0237066,1,209,125.195,12.3509,1,1,1,209,0,0,0
0.0124879,0.00170255,0.0276313,1,208,125.195,12.2975,1,1,1,208,0,0,0
0.00788393,0.00872428,0.00974736,1,208,125.195,12.149,1,1,1,208,0,0,0
0.00411223,0.000585711,0.00902633,1,210,125.195,11.9149,1,1,1,210,0,0,0
0.0118735,0.00487414,0.0280008,1,214,125.195,12.1967,1,1,1,214,0,0,0
0.00904803,0.00173708,0.0113166,1,215,125.195,11.7409,1,1,1,215,0,0,0
0.0173519,0.00942608,0.0293773,1,209,125.195,12.3576,1,1,1,209,0,0,0
0.00588905,0.000675203,0.00963145,1,207,125.195,11.9117,1,1,1,207,0,0,0
0.00420278,0.000579669,0.0126531,1,212,125.195,12.0615,1,1,1,212,0,0,0
0.0106869,0.00428888,0.0362457,1,213,125.195,12.8427,1,1,1,213,0,0,0
0.00582719,0.000713521,0.00993536,1,209,125.195,12.2039,1,1,1,209,0,0,0
0.0122873,0.00209363,0.0259144,1,209,125.195,12.2595,1,1,1,209,0,0,0
0.00735634,0.0125905,0.0100469,1,206,125.195,12.509,1,1,1,206,0,0,0
0.00388975,0.00237463,0.00911758,1,211,125.195,12.6708,1,1,1,211,0,0,0
0.012371,0.00134068,0.050094,1,208,125.195,11.8163,1,1,1,208,0,0,0
0.00781314,0.000703019,0.0121808,1,211,125.195,12.0572,1,1,1,211,0,0,0
0.0123044,0.00339284,0.0304284,1,212,125.195,11.9731,1,1,1,212,0,0,0
0.00722787,0.00570433,0.00876712,1,207,125.195,11.6183,1,1,1,207,0,0,0
0.00372034,0.00420274,0.00705307,1,208,125.195,11.8217,1,1,1,208,0,0,0
0.00549255,0.000647824,0.0144189,1,211,125.195,11.7855,1,1,1,211,0,0,0
0.00867473,0.000988105,0.016705,1,208,125.195,11.8263,1,1,1,208,0,0,0
0.00780768,0.00147773,0.0215529,1,212,125.195,12.6297,1,1,1,212,0,0,0
