Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy
0.00407378,0.00284268,0.0176769,1
0.0044005,0.00306313,0.0185339,1
0.00406391,0.00294508,0.0180768,1
0.0046983,0.00298893,0.018286,1
0.0041887,0.00289888,0.0176493,1
0.00463573,0.00305609,0.018316,1
0.00405883,0.00281803,0.0173242,0.994048
0.00428188,0.00282971,0.0177735,1
0.0042319,0.00336929,0.0210719,0.994012
0.00396622,0.00303517,0.0160578,1
0.00408805,0.00280742,0.0174663,1
0.00411242,0.00285933,0.0179714,1
0.00424363,0.00282621,0.0179109,0.994186
0.00411019,0.00285415,0.0182103,0.982759
0.00401643,0.00299035,0.018024,1
0.00416822,0.00297996,0.0181409,0.994318
0.00378657,0.00291045,0.0182495,1
0.0039142,0.00281891,0.0189529,1
0.00426957,0.00302563,0.0187279,0.982955
0.00414124,0.00298532,0.0181897,1
0.00412884,0.00293591,0.0180371,1
0.00400835,0.00305014,0.0188214,1
0.00419874,0.00295154,0.0183749,0.994382
0.00413223,0.00291978,0.0183733,1
0.00436779,0.00316681,0.0186458,1
0.00418914,0.00286636,0.0175183,0.988372
0.00410778,0.00287097,0.0173984,1
0.00415789,0.00284163,0.017655,1
0.00413454,0.0028393,0.0174283,1
0.00398771,0.0028152,0.0173723,0.988095
0.00411939,0.00392464,0.0180991,0.971264
0.00430264,0.00298378,0.0179912,0.994253
0.00428439,0.00299775,0.0180524,0.994318
0.00470574,0.00299376,0.0160908,0.994286
0.00413542,0.00287431,0.019406,1
0.00419873,0.00283965,0.0190282,1
0.00396455,0.00282712,0.0184001,1
0.00374529,0.0027145,0.0171047,1
0.00392768,0.0028292,0.0180524,1
0.0039117,0.00293861,0.0183946,1
0.00389321,0.00264728,0.0170781,1
0.00390082,0.00282179,0.0180876,1
0.00385681,0.00284361,0.022729,1
0.0039115,0.00269125,0.0175206,0.994083
0.004095,0.00279837,0.0194608,1
0.00390715,0.0026228,0.0172421,1
0.00398498,0.00296345,0.0178578,1
0.00422275,0.00287714,0.0177456,0.99422
0.00410835,0.00297348,0.0179352,1
0.00415318,0.00266361,0.0166928,1
0.00427262,0.00288366,0.0188857,0.994253
0.00388527,0.00263578,0.0170829,1
0.00407516,0.00266652,0.016939,0.976048
0.00391111,0.00297693,0.0181676,0.99435
0.0041353,0.00279948,0.0173707,1
0.00411746,0.00280024,0.0174463,1
0.00409224,0.00298378,0.017941,0.994318
0.00409549,0.00299431,0.0184238,0.994413
0.00408549,0.00291807,0.0176865,0.988372
0.00409022,0.0028452,0.0176221,0.988372
0.00402499,0.00293215,0.01786,1
0.0041516,0.00291524,0.0178275,0.988506
0.00420721,0.00280195,0.0176509,1
0.00408059,0.0028394,0.0177468,0.994186
0.00410689,0.0028961,0.0178061,1
0.00474127,0.00307974,0.0175475,0.988372
0.00413293,0.00286045,0.0176022,1
0.00425716,0.00289202,0.0177679,1
0.00414627,0.00310691,0.0201278,1
0.00413938,0.00271964,0.017191,1
0.00416711,0.00290163,0.0174956,1
0.0041834,0.00293736,0.0181265,1
