Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence
0.00177281,0.00328083,0.020269,1,195,23.3398,11.2264
0.000604377,0.000954962,0.00594644,1,186,23.3398,11.1523
0.00189216,0.00312284,0.0218443,1,187,37.5,11.1813
0.000748386,0.00145726,0.010456,1,195,37.5,12.0349
0.000845156,0.00153024,0.00925116,1,187,37.5,12.1145
0.00175691,0.00307049,0.0213053,1,185,37.5,10.929
0.00175687,0.00321466,0.0199486,1,192,37.5,11.3591
0.00149985,0.00323114,0.0200691,1,192,37.5,11.4258
0.00147108,0.00293572,0.0202807,1,195,37.5,11.8014
0.000573427,0.00110578,0.00692391,0.974747,198,37.5,11.252
0.00263763,0.00335368,0.0219466,1,193,37.5,11.73
0.00157851,0.00293541,0.0208105,1,191,37.5,11.3799
0.00171187,0.00319818,0.0217365,1,192,37.5,11.0906
0.00153922,0.00306262,0.0198642,1,191,37.5,11.0515
0.00158476,0.00321196,0.0199715,1,191,37.5,11.3381
0.00179985,0.00314589,0.0197362,1,190,37.5,11.6003
0.00175748,0.00314193,0.0196226,1,188,37.5,11.8682
0.00166078,0.00306443,0.0187665,0.989305,187,37.5,11.8888
0.00177527,0.00319114,0.0200848,1,191,37.5,11.5981
0.00174979,0.00329951,0.0207072,1,195,37.5,11.3234
0.00178187,0.0033317,0.0206852,1,196,37.5,12.2091
0.0017921,0.00324262,0.0201509,1,193,37.5,11.6336
0.00657516,0.00250373,0.0147457,1,246,37.5,13.6116
0.00176089,0.00311987,0.0262307,1,188,37.5,10.9625
0.00278875,0.00379902,0.00832599,0.994737,190,37.5,11.6198
0.00175275,0.00327422,0.027979,1,194,37.5,12.6974
0.00113263,0.00211286,0.0234259,1,191,37.5,12.1088
0.00176224,0.0030651,0.0255971,1,183,37.5,11.1599
0.00157687,0.0030218,0.0266044,1,197,37.5,11.3462
0.0017985,0.00313383,0.0255481,1,192,37.5,11.9497
